,A1BG,A1CF,A2M,A4GALT,AAAS,AACS,AADAC,AADAT,AAGAB,AAK1,AAR2,AARS,AARS2,AARSD1,AATF,ABAT,ABCA1,ABCA10,ABCA3,ABCA6,ABCA7,ABCA8,ABCA9,ABCB10,ABCB11,ABCB8,ABCB9,ABCC1,ABCC10,ABCC4,ABCC5,ABCC9,ABCD1,ABCD3,ABCD4,ABCF1,ABCF2,ABCF3,ABCG1,ABCG4,ABCG5,ABCG8,ABHD11,ABHD12,ABHD14A,ABHD14B,ABHD15,ABHD16A,ABHD17C,ABHD2
TCGA-DD-A1EG,-0.37454154,-1.519569633,0.673722515,0.306320278,-0.240493617,-0.547581838,1.307421355,-0.20308692,-0.627332888,-0.818318421,-1.220823462,-2.044286538,-0.981278454,0.733934669,0.137629159,-0.713476274,-0.508871029,0.718586028,-0.909332925,-0.897376598,0.168476845,-0.976954687,-0.374716096,-0.687759605,-1.074167049,-0.19280718,-0.771725744,-0.085170664,-0.528876743,-0.83872293,-0.639375498,-1.202468482,-0.50084688,-0.053344573,-0.939959202,-0.655754613,-0.780406025,-0.664776668,-0.695734957,-0.379266889,-0.451852335,-0.773656099,-0.051202883,1.080579328,0.812594127,0.204829433,0.422583504,-0.52722476,-0.78081052,-0.54161878
TCGA-G3-A3CH,-0.138248698,0.49668914,-0.353034171,-0.422839681,0.365602843,-0.384416041,0.029645565,-0.326645614,-0.276630715,-0.5130905,-0.057395491,0.265297759,-0.321246043,0.10353562,0.342806218,-0.436338616,-0.428765346,-0.604269942,-0.553086358,-0.038215892,0.632001457,-0.597027041,-1.171067804,1.727605059,-0.396414787,0.612584338,-0.028291553,-0.16892615,-0.392160017,0.15481434,-0.499854396,-0.284330352,0.691240835,-0.283561536,0.856622815,-0.827215407,-0.381406165,0.693351117,0.724327284,0.205242502,0.063912895,-0.758985836,-1.279136262,0.924165412,-0.172657551,-0.50085335,-0.255569673,-0.03506154,1.056682347,0.143436766
TCGA-BC-A10R,-1.721894729,0.137415051,-0.28321574,-0.468188419,-1.585982954,-0.732159429,2.13786031,0.666502482,-0.655313531,0.080013883,-0.170617319,-0.97570985,-1.536642438,-1.151555089,-0.437067268,-0.458553829,1.57729509,0.177001073,-0.562128149,-0.559394257,-0.619356795,0.055832178,-0.076114976,0.990609175,-0.265296638,-0.394385267,-0.567348277,0.773756278,-1.209623929,-0.181910811,-0.711220848,-0.04266855,0.164420167,0.452541739,0.508674861,1.120675023,-0.071552928,0.121689527,1.113015144,0.492183476,-0.706482226,-0.653386382,-0.029239692,0.203693741,-0.061643277,-0.932143524,-0.186365277,0.374816439,-0.744960721,2.769117408
TCGA-DD-A11C,1.505793969,1.084481986,-1.343171912,-0.468188419,1.4983678,-0.289450771,0.460858423,0.365328166,-0.337055172,0.261021138,-0.446996482,0.060954743,0.854959435,-0.639495202,-1.178915274,0.771477283,0.568298869,-0.20183066,-0.993421582,1.221131645,-0.630882761,1.397916351,0.63826297,0.512844735,-0.150286862,1.285208894,-0.352261074,-0.360119706,0.775888696,-0.816538685,-0.276620632,2.722790711,-0.480723859,0.108330692,1.184730544,-0.699057447,0.091620736,0.994370988,-0.290735257,-0.363325724,2.375098256,2.203429098,-0.913687857,-1.04501791,2.174253577,0.771000212,-0.11566367,0.546956016,0.487280759,1.787676568
TCGA-DD-A3A2,-0.958654864,1.736699976,0.512195576,-1.045788124,-0.443034924,-0.64016802,0.460858423,1.299571684,-1.409245956,-0.861697066,-1.962053652,-1.532108953,-0.517678571,0.836043442,-0.580540712,0.067600873,-1.438922519,0.669426778,-0.733018,1.504641906,-1.467306256,1.222822072,0.067154481,-0.323021846,-0.338034444,-1.063075367,-0.752983705,-1.24215161,-0.412015143,-1.161979076,-0.33467424,-0.175560451,-1.024850325,-1.092664098,1.712232539,-1.352469561,-1.403646948,-1.373657752,-0.347826699,0.237124833,2.202954105,0.998696598,-0.498010588,-0.057646038,0.561944713,-0.763204319,0.88863186,0.59070768,-0.78081052,-1.110130756
TCGA-DD-A1EC,-0.138248698,0.10286447,0.655273584,4.757656853,-0.522157396,-0.101106291,0.099046831,0.697786731,0.071496552,-0.209439985,0.656092751,0.514720322,0.929517766,-0.841929187,-0.437067268,3.006696577,2.547399421,-0.527337105,1.050023194,0.552243502,-0.332337655,1.368231136,2.102466976,0.272635392,2.16751782,-1.354811095,-0.361185855,0.68249168,0.400910455,0.64524462,0.955976143,1.064204355,0.635298839,0.36376559,0.622260152,0.739702223,0.543048235,-0.957252684,0.284373639,0.04583085,1.157828928,1.364686597,-0.07297509,-0.364624596,-0.038226204,0.304582654,1.307268551,-1.00986927,-0.338027369,1.507861248
TCGA-DD-A3A5,2.732177914,-0.6296829,-0.897295636,-1.52045813,-0.600159729,-0.718479672,-0.673515266,1.056625529,-1.363755953,-0.957130085,0.115471527,-0.92300704,-0.756647583,-0.430016157,0.178062584,0.771477283,-0.224824791,-0.55122239,-0.525056806,-0.129658566,-0.642408726,-0.46573327,-0.485491449,-1.21153099,-1.170667206,0.75489445,0.537539511,-1.90468638,-0.76600368,-1.018573776,-1.437692795,-0.371629021,-0.802893412,-0.852630422,-0.288009393,-1.156040539,-1.310965879,-0.042197152,-2.027480233,-0.969090003,-0.228582037,-0.304101979,-0.498010588,-0.866217884,0.10748003,0.304582654,0.105507592,-0.03506154,-0.500114225,-0.787868189
TCGA-FV-A3R2,0.911618509,-0.356857425,-0.28321574,-0.114945623,0.787487526,-0.009511396,-1.147984465,-0.737681196,-0.215347957,-0.252029928,0.656092751,-0.166984083,-0.321246043,2.23943711,2.434809569,-1.111613656,-1.322633834,0.962715862,0.293225284,0.150468764,1.207169735,-1.055289173,0.620785081,-1.603695967,-0.779663981,-0.718015203,0.492023132,0.092737539,1.889761279,-0.559042981,1.761028941,-0.891356524,0.238875342,-1.516811243,0.73822627,-0.252301194,0.192156133,0.812533583,-0.683850616,0.306203215,-0.403436792,-1.08442776,2.366944479,0.809635186,0.530721948,0.405725294,2.948959861,0.374816439,-0.968831272,-1.735168067
TCGA-DD-A3A8,0.40871212,-2.204202245,-0.318487809,-0.159697667,1.880436671,-0.123311114,-1.661925873,-1.043139481,-1.076911445,-0.897977387,1.10048409,-0.038081657,0.966796932,-0.514646048,0.642394823,-0.929242252,-1.919427623,-1.413592281,-0.427405463,-2.451315218,-0.783432304,-1.699905493,-1.325168629,-2.750994183,-1.279373706,2.709230838,0.462571358,-0.971245936,-0.331460059,0.031216402,-1.278606665,-1.022304528,1.074986829,-2.366808432,-1.204975014,-0.993885248,-1.042740579,0.933355779,3.104224834,-0.708717637,-1.51824532,0.183770145,-0.799479262,2.069539891,0.394556003,3.095018679,-0.66222868,-0.03506154,-0.054661408,-1.433926791
TCGA-DD-A11D,0.108078496,0.172254275,0.233263668,0.291999624,0.83595895,0.426654769,-0.205818009,0.030445775,0.814614372,-0.356533027,-0.661129648,0.776518311,0.230294437,-0.033976805,-0.650772468,-1.455813131,-0.718938831,0.177001073,-0.417459493,-0.559394257,0.841050831,0.267992568,0.027029186,-0.793487106,-1.004030596,0.08118164,0.390280638,0.26313663,0.775888696,0.044685408,1.050273164,-1.047398477,1.49495426,-0.381378077,0.008701179,1.120675023,0.025644381,0.459905374,0.105642471,-0.708717637,1.122757894,0.814882179,-0.76586603,-0.866217884,-1.005264603,0.987820962,0.105507592,0.814168017,-1.033666014,-0.600423019
TCGA-BC-A10Y,-0.924014916,2.161871289,0.026993593,0.364199587,1.4983678,0.112218615,-0.583823654,0.139010577,0.376880382,-0.174342718,0.532987853,0.265297759,0.567718682,0.057341433,1.143448237,1.68197814,0.858730343,0.999654733,1.282397224,1.802270722,-0.487825189,1.222822072,0.72712942,0.548013507,3.03581912,-1.354811095,0.162698743,0.705019018,-0.163258776,-0.021075033,1.123080728,1.316027439,-0.185519154,0.826603609,0.288448358,1.289648206,1.491458335,-1.052011806,0.071387605,-0.055129863,-0.045053352,-0.001656682,0.652192191,0.697415783,0.626992139,0.405725294,0.981957981,-0.490870166,0.038014135,0.614232751
TCGA-BC-A10Q,1.403301084,0.350000707,-0.595319373,-0.603041242,-0.443034924,-0.347341917,-0.553512361,0.394526799,-0.215347957,0.689286669,-0.114093098,-0.414261573,-0.756647583,-0.033976805,-0.954976303,0.145770297,0.114689151,2.823823957,1.132303493,0.839240252,-0.249621902,-0.34467578,0.013736144,0.801715271,-0.096859093,-0.222190033,0.418839935,-1.035939829,0.014302782,-0.786431495,-0.171097775,0.200495355,-0.52076867,0.36376559,-0.223677462,-0.524095574,-1.191580094,1.180091964,-1.239152277,-0.65558042,-0.706482226,-0.493388009,-0.644304541,-0.364624596,-0.755482487,-0.365527418,-0.874250322,-0.599073824,-0.672116982,-0.751405726
TCGA-BC-A10U,-0.257623613,-0.388030881,-0.12160248,1.041148829,-1.553906276,-0.23948992,1.572801245,-0.672688872,-0.058107041,3.585008401,-0.608246559,-0.619693626,-1.076866059,-0.213046163,-0.363825579,-1.040174811,0.935159678,-0.907557517,-0.139876507,-0.476995744,-0.893493974,-0.180141034,-1.228178652,-0.050519166,-0.069544896,-0.251405461,-0.039001289,1.961928922,-1.401084075,-0.059897462,-1.019129488,-0.100455321,-0.958645588,-0.233651561,-1.404121277,1.404354648,0.364558632,0.177095134,-0.536344972,-1.271972142,-0.879877425,-1.109195392,0.520604028,-1.04501791,-0.875169751,-1.888224703,-0.911098336,-1.952106953,0.622289575,0.558985305
TCGA-DD-A3A4,-0.335838368,-0.994903037,-0.992067904,0.379116935,1.99306145,-0.347341917,-2.76289853,-1.718146488,0.929970152,-0.532413715,3.349835963,2.542738952,1.479624432,3.411592309,3.771921873,-0.852672956,-0.079125324,-0.310147651,0.515653343,-1.339642938,0.552449696,-2.348131448,0.535364975,-0.11267278,0.178283913,-1.223467234,-0.268368141,0.63801463,1.679013296,-0.392661141,0.441512123,-1.291180895,1.772853168,-0.831694777,1.018419854,0.846669435,1.754381963,2.521736149,0.745765703,2.304162591,-0.728709171,-0.080453171,0.599003071,-0.969482842,0.848153387,-0.932143524,-0.476241865,-0.03506154,0.819463467,-1.292847732
TCGA-FV-A3I0,0.959267787,-0.197786202,-0.733749036,-0.114945623,-1.617754139,-0.647503542,0.099046831,0.92297696,-1.317579309,-0.939384276,-0.114093098,0.588213846,-0.956903615,-1.037407291,-0.615756921,0.252555441,-0.242497059,-0.805628451,-0.818010836,0.215124154,-0.912477917,-0.290962243,-1.336492331,-0.323021846,-0.189407195,-0.251405461,-0.727994321,-1.157240876,-1.574958252,-0.80148509,-1.795636589,-0.302090506,-0.118308266,-0.308278619,-0.566764561,0.58196935,-0.940045241,0.752726596,-0.231779604,-0.958462559,-0.900853323,-1.008063098,0.128990777,-1.658830599,-0.1292926,-0.319783441,-0.300985058,-0.380487526,-0.935651139,-0.293729413
TCGA-EP-A3RK,1.104212173,0.034427186,1.430716451,-0.337214105,0.983613498,5.520480809,0.276818294,0.194420337,-1.10163054,-0.939384276,-0.000177722,-1.154509989,1.1197371,-0.079279213,-1.020091174,0.119529652,-0.412447522,-0.017691775,-0.724880388,0.247814306,0.591999577,-0.431738043,-0.332129126,-0.234104575,-0.137079997,1.128416636,-0.596800052,-1.077528759,-0.509872551,-0.595488527,0.005628955,0.329941256,-0.802893412,-1.260049085,1.992922129,-0.952609356,-1.708198515,-0.359959527,-1.337955426,2.846162208,0.439602493,-0.119018779,-0.441001783,-0.48153786,1.420570735,0.304582654,0.395134645,0.207436218,1.211904348,-0.521726292
TCGA-EP-A12J,-0.335838368,0.802564252,0.264399249,-0.394795067,0.691461155,0.865993052,0.386475351,-0.469425802,2.224632799,0.334370483,0.411616828,0.335326163,1.39789703,0.291522774,0.057464626,-1.198164013,0.322499546,-0.611768811,0.323967373,-0.159725221,0.036493241,-0.34467578,-0.542602298,0.839095915,1.168148396,1.957749738,3.5264484,-0.20185072,0.154423244,2.64816505,0.402382067,-1.280401099,3.609883679,-0.429259599,-1.204975014,0.739702223,0.435247583,0.994370988,0.265964562,0.098968067,-0.254103408,1.86284112,0.082963568,1.886046004,-1.319226846,0.612285713,1.341038965,2.164391405,2.502878477,0.397736882
TCGA-DD-A11B,0.452863136,-0.418973424,0.905380203,0.090018735,0.055222801,0.08723819,-0.732277637,0.003783703,0.071496552,0.048465777,-0.971666086,-0.473993624,0.165772804,-0.680606245,-0.92216804,-0.034125574,-0.508871029,-0.040466117,1.509346179,-1.206189795,-0.10362634,0.334582268,-0.101224056,0.239457306,-0.600620923,1.869601181,0.280505842,-0.119250482,-0.053488292,0.846487416,-0.232038027,0.264555613,0.445136298,0.21989564,0.360815581,-0.952609356,0.091620736,-1.506734771,0.597560979,-0.597129481,0.720254175,0.866479209,-0.60849499,1.663701384,-1.636658284,0.987820962,0.649161359,-0.343158124,0.255401211,1.680908856
TCGA-BC-A110,-0.257623613,-1.786824296,-1.208578131,1.434668463,-1.289655551,-0.587233308,-0.790237313,0.453544113,-1.223337756,-0.147132477,-0.920863642,-0.19863217,-1.192527061,0.633163566,0.259832415,-1.470989222,0.935159678,-1.261393021,-1.316213523,-1.6888787,-0.20690803,-1.154850474,-0.101224056,-0.173720459,-1.164564033,-0.919258443,-0.943081524,-0.696874519,-0.659353287,-0.7713779,-1.724753454,0.286203562,-1.300938161,-0.308278619,-1.230469704,-0.017083889,-0.103559314,2.450192149,0.140363389,-0.99034489,-1.66353365,-2.121337748,0.652192191,-1.332065609,2.228893415,-1.216743024,-1.406758188,0.166322268,-1.203380486,-0.979594289
TCGA-DD-A1EH,1.302219279,0.49668914,0.582743185,-0.494741298,-0.482748906,-0.420697136,-0.461297994,0.453544113,-0.76517618,-0.200764256,-0.000177722,-0.261334323,-0.625692564,0.057341433,-0.363825579,0.067600873,-0.555631593,0.282540705,-0.929224866,1.142633857,0.220004691,-0.780902971,-0.748398288,-0.606362701,-0.70712628,-0.869952175,-0.582520404,-0.722289977,-0.372021246,-1.030458193,-0.651563549,-0.996857142,-0.766873206,-0.258694198,0.181707945,0.128026669,-0.528282098,-0.564580547,-1.08675308,-0.039188698,0.409452246,-0.845474301,0.17559094,-1.466815547,1.356390608,0.155451589,-0.476241865,-0.910324198,1.746218899,-1.218559725
TCGA-DD-A1EJ,0.192490628,-0.165284987,-0.23503059,-0.863498135,0.365602843,-0.579303014,0.386475351,-0.515703944,0.518671863,-0.538723336,-0.226621378,1.051351747,0.818158207,0.484682251,0.178062584,0.041905563,-0.041458883,-0.191554433,-0.684192328,-0.364392496,-0.959033778,-0.326896977,-0.266156249,0.764777002,0.545624839,-1.086430968,-0.447756223,-0.856876377,-0.950656354,0.031216402,0.325725645,0.374297462,-0.693424182,1.752129391,-0.828655537,-0.064809139,-0.198007608,-1.145476405,-1.077898081,0.444359981,-0.202935561,-0.099802058,-0.029239692,-0.183008253,-1.17525521,-0.273736642,-1.171779319,-0.52722476,-0.63474166,-0.070822795
