,A1BG,A1CF,A2M,A4GALT,AAAS,AACS,AADAC,AADAT,AAGAB,AAK1,AAR2,AARS,AARS2,AARSD1,AATF,ABAT,ABCA1,ABCA10,ABCA3,ABCA6,ABCA7,ABCA8,ABCA9,ABCB10,ABCB11,ABCB8,ABCB9,ABCC1,ABCC10,ABCC4,ABCC5,ABCC9,ABCD1,ABCD3,ABCD4,ABCF1,ABCF2,ABCF3,ABCG1,ABCG4,ABCG5,ABCG8,ABHD11,ABHD12,ABHD14A,ABHD14B,ABHD15,ABHD16A,ABHD17C,ABHD2
TCGA-DD-A1EG,0.081373854,-0.332064709,0.036104488,-0.050936705,-1.425891054,-0.439802162,-0.521492497,-0.716137933,-0.029020122,-0.878992581,0.282155545,1.35293322,0.112059413,0.025759107,0.890887281,-0.554288052,-0.992752906,-0.649661206,-0.706414577,-0.817448802,-0.6530465,-0.845799321,-0.442989623,-0.399459986,-0.312658869,0.457655476,-0.538476703,0.13713862,0.866264934,0.189901895,-0.413728426,-0.665415634,0.241834394,-1.355654066,-0.744716929,1.08721188,0.10912916,-0.999899933,-0.473050054,-0.894154681,-0.696713301,-0.576329581,-0.369436162,1.01351158,-1.051675266,-0.466467443,-1.796018928,1.310371716,0.601250665,-0.772995463
TCGA-G3-A3CH,0.913776068,0.429134142,-0.164613914,0.398182626,0.152201281,-0.711996983,0.084370247,0.156652439,-1.608829358,-0.282871773,-0.720656716,-1.178408198,-0.208925487,-0.403296376,-0.803429189,0.18657265,0.410041716,0.915098012,0.10923063,0.790125656,-0.358866725,0.442822373,-0.665895623,0.657358421,1.613759934,-0.738075992,1.087677492,-0.048797864,-0.758298936,-0.462218107,-0.743444263,-0.989026058,-0.241952391,-0.461889326,0.307957311,-0.526909827,-1.208663615,-0.673880667,-0.02214566,-0.388661986,1.12485953,0.327943782,-0.479896628,-0.110347023,0.336496133,-0.507635718,0.930421012,-0.051735167,1.863592007,2.149946004
TCGA-BC-A10R,-1.090241678,-0.178855522,0.331085743,-0.411297976,-1.176534345,-0.132696361,1.910111806,-0.850623204,-0.634604249,1.625593614,-0.135934758,-0.854006728,-1.611647179,-1.849824094,-2.106827541,0.055065554,-0.269100108,0.507000484,-0.078082419,-0.021146777,5.144885983,-0.342908879,-0.060217582,1.162241223,-0.924961983,1.869992818,-0.188847571,1.095159914,0.370463282,-0.594117909,-1.360256627,-1.04015739,1.064250474,0.767763024,-1.255511289,-1.359412679,-1.220194154,-0.746413719,4.759569401,0.085882177,0.144741129,0.483740322,-0.383114523,0.299203472,0.199033307,-1.156112025,0.053872517,-1.890222659,0.392210135,0.262453541
TCGA-DD-A11C,0.46690279,2.172806865,-0.689092717,1.373692311,0.315858352,-0.139844799,-0.815086313,2.568792215,-0.029020122,-0.94900382,0.371079491,0.272453526,0.56966783,-0.888499672,-0.113275489,1.186729306,0.829769168,-0.495902081,-0.623917729,2.567651213,0.143786907,4.589715735,-0.154983534,0.472029585,1.631991263,-1.581725651,0.138057661,-0.661491463,-0.646411306,-0.471236896,0.999714767,2.373541535,-1.09633487,-0.587714023,0.789923984,0.994496282,-0.893081634,1.107353295,-0.431787167,0.570742518,0.962943434,1.552528858,-0.544747895,-0.388318572,0.213930756,0.441517644,3.183057741,-0.317982841,0.030276325,-0.257627261
TCGA-DD-A3A2,2.094497208,0.071821386,-0.202895523,-0.763014366,-0.323285517,-0.89336784,-1.13158936,2.791081495,-0.14141985,-0.575512897,-1.451525581,-0.96743559,-0.328350515,0.245809269,-1.543986559,0.066615375,-0.548967456,0.208730903,-0.655277832,0.179656084,-0.366845354,-0.08954324,1.447797131,-0.572480307,0.796270139,2.25642991,-0.698739999,-0.597041453,-0.893821109,-0.050325872,-0.882540852,0.355292667,-1.192191161,0.655013735,0.056612134,-1.226930061,-0.808820003,0.388491836,-0.736647082,1.426985247,0.590954103,0.173174062,0.003815977,0.989370811,-0.038648723,1.113711083,0.229069227,-0.271085408,-0.521262429,-0.524385182
TCGA-DD-A1EC,-1.147618701,-1.66893933,0.545893574,-0.31561217,-0.677903291,0.733982589,-0.422628463,-0.779340349,1.795357365,1.465651618,-0.055742016,-0.957475673,-0.289131528,0.079636377,-0.410097102,-1.235925053,0.946012704,-0.475092575,1.397396311,-1.481268719,1.690740135,1.120535537,-0.735734009,-0.875129541,-1.000807306,0.293480312,-0.484856271,1.842014757,0.923485407,-0.664525962,0.065446915,0.1445696,-0.336564352,0.183839512,-0.334879951,0.020109025,3.479357869,-0.260366373,2.101604696,1.16908081,-0.844177788,0.552574576,-0.544747895,-0.12672826,-0.667050215,-1.183081229,-1.195353463,2.506296801,2.304131968,0.416233096
TCGA-DD-A3A5,2.139938131,1.275739365,-0.521349941,-0.373343396,-0.130677535,-0.830805146,-0.246526158,1.425693138,-0.936596147,-0.220183885,0.586001414,-0.402308638,1.150719614,-0.543030923,-1.257689851,0.726373332,-1.209716316,-0.916427508,-0.675478259,-0.13207562,-0.047271232,-0.688023001,-0.743974526,-1.490087857,-0.187435469,0.00918136,-0.313031692,-1.038864804,-0.447056225,-0.716076545,-0.893633549,-0.744215436,-0.483824329,-1.160191331,1.626572004,-0.566708609,-1.414498518,4.725404595,-0.771561832,-0.141073727,1.108151951,0.378444638,0.39127426,2.494935728,-0.363006821,-0.071496722,-0.325396031,-1.201411545,-1.053797499,-1.161991596
TCGA-FV-A3R2,-0.179408569,-0.461169986,-0.808755699,0.514237192,-0.656900496,-0.583879225,-0.081070016,0.345075929,-0.223695697,-0.482066932,0.617568072,-1.117722488,0.157386274,-0.426963891,0.207106459,-0.422922066,-0.999080086,-0.715846995,0.307844617,-0.410600858,0.099647072,0.232914271,-0.452466218,-0.987620016,-0.544874338,1.293195133,-0.509374164,-0.628250085,-0.568502423,-0.251096434,0.404649928,-0.166866697,-0.805547904,-0.718593431,1.248062457,1.311203109,0.625165126,1.294486403,-0.724398913,-0.594985535,-0.188137279,0.084643541,-0.122609908,0.478103813,0.041932934,1.16369116,0.930421012,1.345078519,-0.590150786,-0.207524889
TCGA-DD-A3A8,0.198492987,-0.210361568,-0.606125079,-0.357415499,0.72524812,-0.511341965,1.553011496,-0.757723887,-1.810753492,-1.052995411,-0.873721423,-0.875284155,-0.623296579,-0.677069873,-0.461707756,-0.139623368,-0.834426267,-0.075954696,-0.424173648,1.229526935,-0.354834515,0.307573197,-0.405701281,-0.342981042,-0.14677998,0.138163306,0.248089178,-0.411702836,-0.817548968,-0.874417799,-1.328584056,0.649611404,-0.533425883,0.27998345,1.187947658,-0.383151417,-0.973854537,-0.232972226,-0.434886552,-0.852889971,-0.631401856,-0.594681648,-0.965214571,-0.948807657,-0.202520664,1.910830077,-0.347993958,0.345690169,-0.66173853,-0.977828177
TCGA-DD-A11D,0.524299826,0.813951282,0.567095009,-0.443212982,0.152201281,-0.916697241,1.863277156,-0.37804618,-0.113555261,-0.829193791,-0.894944963,-0.754559812,0.134722843,-0.610762348,-0.78011025,0.525503809,-0.324941148,0.245147538,-0.696384995,0.664845159,0.143786907,0.541087329,-0.030345706,-0.314157306,0.388891654,2.25642991,-0.420471887,-0.933162005,-0.314152837,0.110065107,-0.538959142,0.969385133,-0.120480073,0.837296626,-0.744716929,-1.149651182,-0.129168645,-0.599793593,-0.057023069,-0.832257616,0.039201944,0.290978276,0.122391098,0.185984834,-1.111265062,0.607332258,0.608463319,-0.175290306,-0.75394959,1.202878906
