,A1BG,A1CF,A2M,A4GALT,AAAS,AACS,AADAC,AADAT,AAGAB,AAK1,AAR2,AARS,AARS2,AARSD1,AATF,ABAT,ABCA1,ABCA10,ABCA3,ABCA6,ABCA7,ABCA8,ABCA9,ABCB10,ABCB11,ABCB8,ABCB9,ABCC1,ABCC10,ABCC4,ABCC5,ABCC9,ABCD1,ABCD3,ABCD4,ABCF1,ABCF2,ABCF3,ABCG1,ABCG4,ABCG5,ABCG8,ABHD11,ABHD12,ABHD14A,ABHD14B,ABHD15,ABHD16A,ABHD17C,ABHD2
A1BG,0.011254595170510133,-0.0,-0.031772868067019254,0.07354808095006472,0.10615598276618364,0.0,-0.0,0.0,0.0,-0.08690443033744993,0.0,-0.0,0.07642738593178222,-0.19280467250448374,0.0,0.0,-0.0,-0.04348415032784289,-0.0,-0.0,-0.0,0.08237593217414503,0.0,0.0,-0.0,0.0,0.0,-0.04135395522485252,5.7627958218148256e-05,0.0,-0.0,0.0,0.0,-0.31085231900430016,0.01118961160083061,0.07725381356068389,0.0,0.22156354490476243,-0.0908946690076603,-0.027192779672639063,-0.0,-0.0,0.17440572667008744,0.09477815919954455,-0.18068027406432205,0.0,0.0,-0.0,0.0,-0.0
A1CF,0.0,0.18499516008781736,-0.0,0.0,0.0,-0.0,0.0,0.2595874011584711,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.06955945550012183,-0.0,0.0,0.07780866613126404,0.0,0.12506331500141854,-0.0,-0.0,-0.0,-0.09606927291491972,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.22108842301084836,0.22765162781783438,-0.0,-0.0,-0.0,0.0,0.16219305642853785,-0.0,0.000330329299963579,0.0
A2M,-0.08381824452977747,-0.0,-0.006863978383014072,0.15650552163725984,0.0,-0.0,0.0,-0.034775023784805265,0.053931294319790685,-0.0,-0.0,0.1362325753539341,-0.0,0.0,0.08373616944324654,-0.1535249467217226,-0.0,-0.0,-0.04492840499494108,-0.09883306154068561,-0.0,-0.0,-0.02842076165220582,0.0,-0.0,0.0,-0.0,0.0,0.06149683453390557,-0.0,0.0,-0.0,0.1384296176252932,-0.0,-0.0,0.09596116732252949,0.3673122910581252,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05531340160502555,-0.00013169566370096336,-0.0,0.06768282735148659,-0.09216582363919315,0.0,0.0,-0.16232314072056603
A4GALT,-0.0,-0.045007486787369766,0.0,-0.0,-0.02890681698098074,0.0,-0.0,-0.0,0.14354945792508558,-0.0,-0.0,-0.0,-0.03653368139910143,-0.0,-0.0,-0.010755037975423279,0.0,-0.0,0.0,-0.0,0.0,0.006013698167240636,-0.0,-0.0,-0.0,-0.0,-0.0,0.07373058042365066,0.006693857526329908,-0.012116752341799278,-0.0,0.0,-0.0,-0.021046542130764026,-0.0,0.0,0.3332109093827813,-0.009807981457169115,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.022851961907633195,0.22333508138864216,0.19178187504642574,0.0
AAAS,0.0,0.029969734926583905,0.0,-0.1249050920210744,0.0,-0.13439237403606535,0.09323661463363217,0.0,-0.0,-0.4040559572462894,0.0,0.0,-0.004319677615313669,-0.0,0.0,0.0,0.0,0.0,-0.13399715233101084,0.008722659080861048,-0.0,0.00015160286008909785,-0.0,-0.0,0.0,-0.0,-0.08712278426600525,-0.21292835049298092,-0.0031459645771424877,-0.15281591250917148,0.0,0.0,-0.0,0.0,0.15753673798882473,-0.00974537941563379,-0.0,0.0,-0.18506651532712393,-0.08704733802276526,0.0,0.0,-0.15922306476560724,-0.13740604624336547,-0.0,0.23306319207197912,0.0,0.0,-0.0,-0.0
AACS,-0.0,-0.028016805600727418,-0.0,0.0,-0.0,0.0,0.2529587560001351,-0.0,0.0,-0.0,-0.0,0.01543973985848765,-0.0,-0.0,0.1904436740247844,-0.0,-0.06600193323708914,-0.0,-0.0,0.0,0.0,-0.007728108367634046,0.0,-0.021902681617554653,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.17413334261224894,0.0,0.0,-0.0,-0.04487978424868269,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.02250003876536312,-0.0
AADAC,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.024538723784155378,0.0,-0.0,-0.04909792108472452,0.15699717991981232,-0.0,-0.01968892353524456,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.10901172275582002,-0.0,0.0,0.20012721568754172,-0.0,0.0,-0.0,0.2817444227836516,-0.0,-0.19467172613131675,0.0,-0.0,-0.0,0.0,0.0,-0.18164089903870884,-0.1337334867429743,-0.0,0.0,-0.0,-0.10942567959852123,-0.0,0.0,0.0,-0.0
AADAT,0.1626037285202187,-0.0,0.032831326187852,-0.0,0.0,-0.03248611227436135,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0902653117453241,-0.0,-0.0,-0.0,-0.0,-0.0,0.21267482387362563,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
AAGAB,-0.010484502108437543,0.0,-0.0,-0.0,-0.05086142205615457,0.0,-0.0,-0.0,0.10060572195843465,0.1203921737291073,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.029952435944063556,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.1506146396672542,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
AAK1,-0.0,0.0,-0.0,0.0,-0.0,0.06326994135533122,-0.01178055335243132,-0.0,0.0,0.06013340027673456,-0.0,0.0,0.11256075021557935,-0.0,0.0,-0.0,0.0,-0.0,0.03985933763457736,0.0,-0.02048374387201437,0.019867882052328853,0.041336575980112186,-0.0,-0.0,-0.0,-0.027760079090888914,0.0,-0.0,0.0,0.0,0.0,0.020305914328557342,0.2211680558024932,0.0,0.16577849883712495,0.04036599689383016,0.0,-0.0,-0.0,-0.011428493841501117,0.0,-0.0,-0.026530136973071917,-0.0,-0.0,0.0,0.0,0.025677486440573577,0.0
AAR2,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.01673020590320279,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.022955561503658364,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.04945062299860081
AARS,-0.0,0.0,0.1608335748273677,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.11651052111029574,-0.0,0.0,0.1007043416264076,0.13641330033368354,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.04166554872240691,0.08175970946395938,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.019419478428820997,0.0,0.0061189541443572235,-0.0,-0.0,0.0,-0.0,-0.07763072790366048,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
AARS2,0.0,-0.0,0.04504110015665321,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.24437302806867026,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.09746476725287492,-0.0,-0.0,-0.0,-0.02247902063003339,-0.0,-0.07749356802520727,-0.1443383407415327,-0.0,0.0,-0.0,0.06854786331887208,-0.0,-0.0
AARSD1,0.0,0.035895686332612656,0.058911448788571484,-0.033881303935738086,-0.02221964932065999,-0.10248494940280582,0.0,0.0,0.0,-0.014731334792942856,0.0,0.0,-0.10811471968598207,-0.0,0.0,0.0,0.0,-0.0,-0.1702937583134395,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.24846939422891803,-0.18444630141342094,-0.0,-0.09152753189705719,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.019193226125330004,-0.0,0.0,0.0,-0.0,-0.0,-0.010142176980233883,0.0
AATF,0.0,0.0,0.0,-0.07873500333156476,-0.057416335955972314,-0.03932635700246907,0.0,0.09965614557343803,-0.19153793471290617,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.06135691486627978,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.04524097332696267,-0.06760617072910081,-0.05309392513328018,-0.1412578506585287,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.01037787450383694,0.0,-0.03917375430147762,-0.0,0.0,0.0,-0.0,-0.0,-0.08703546780312942,0.0
ABAT,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.07938115141020588,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.03219236475675956,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.020668594183984028,0.0,-0.02130137519447685,-0.0,0.0,0.0,-0.0
ABCA1,-0.0,-0.0,-0.0,0.0,-0.05596942941494093,0.0,-0.0,-0.0,0.0,0.09580423403428448,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.045386964236293764,0.0,-0.05143470332972956,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.015889884396919705,0.0,0.0,-0.0,-0.0,-0.0,0.009085331432140686,-0.00013627869432497608,-0.0,0.0,0.10808438881447999,-0.0,0.0,-0.03917334998627164,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
ABCA10,-0.12363438556305013,-0.0,-0.02808683759282552,0.0,-0.0,0.27847798329778867,-0.00970478521199563,-0.0,0.0,0.0,0.0,0.0,0.12154093823015727,-0.05468529098292393,0.0,-0.0,-0.15640134421277282,-0.0,0.13430732414605148,-0.0,-0.0,-0.1539955947884769,-0.0013841382917543499,0.0,-0.0,0.0,0.0,0.16092879506436644,0.1942469847223851,0.21846255646412494,0.09683425627860759,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0031885267693906247,-0.0,-0.0,0.29912138642505326,0.15802361429435544,-0.15649829671813034,-0.0,-0.0,-0.04264161045744787,0.12212456532279305,0.13592716220381024
ABCA3,-0.0,-0.0,-0.0,-0.0,0.0,0.016833535097482866,0.0,-0.0,0.0,0.0,0.19797038272657957,0.0,-0.047872618609495654,-0.0,0.0,-0.0,0.0,-0.0,0.07137663626439245,-0.1034897207058732,-0.0,-0.038463752779120855,-0.0,-0.0,0.0,-0.0,-0.0,0.014527093847670619,0.0,0.0,0.1787617592591197,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.04946663583703385,-0.0,-0.0,0.0,0.0,0.2505459976217942,-0.0,-0.0,-0.0,-0.0,-0.0
ABCA6,-0.0,0.0,-0.0,0.017916187092887947,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.04664096446922821,0.0,0.0,0.0,-0.0,-0.0,0.021107932568936047,0.03456953006845437,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ABCA7,-0.0,-0.03336963319625645,0.004906366520411418,0.0,0.0,0.009172754304536436,-0.0,-0.16932802137944902,-0.0,0.015920915335563897,0.04613456376751025,0.0,0.0,0.18627494247098925,0.09487381046233599,-0.09820150261636137,0.0,0.0,0.1811654245125242,-0.13927916747385843,0.0,-0.028647300702180453,-0.1218523692341242,0.10687827855892776,-0.2726026315275422,-0.027163617878330867,0.153874510946067,0.14049946982580652,0.09333417221063807,0.09793019731712692,0.1398487428337227,-0.09075511583715691,0.04394207267491617,0.0,0.0,0.15807990939746747,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20957960791584535,0.0,0.14027897861891464,0.04768988582408247,-0.0
ABCA8,0.0,-0.0,-0.19015080801698,0.0,0.003393222707791573,-0.0,-0.07452456886073472,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.003225726456086861,0.04249839867232316,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
ABCA9,-0.0,-0.0,0.0,-0.0,-0.18932985068766026,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.10037923165170834,-0.0,-0.0,0.0,0.0,-0.0,-0.062212148463669875,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.06123430135845334,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0018203571543024613,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.04634484927967908,0.0,-0.05183046395509654,-0.05130112128043984
ABCB10,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.010685506438055964,-0.0,-0.002927976792702333,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.00961622832813229,0.0,-0.1937836632515953,-0.0,-0.0,-0.0,-0.0,0.0,-0.01096315646148393,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.010515702851217473,0.21879456775224554
ABCB11,-0.0,-0.1382072451038473,-0.0,0.0,0.21348934906323272,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0061595503560670645,-0.0,-0.015450563539824713,-0.0,-0.0,-0.006868229496350103,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.1083997007579759,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.06647271084959824,0.0,0.0,-0.002296295713078038
ABCB8,0.0,0.0,-0.0,0.0,0.0,-0.0,0.176847198703636,0.0,-0.0,0.0,0.11878815701305893,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.08519778134392977,-0.030083196413558853,0.0295482863009517,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04936537344596753,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1363425362989348,-0.15671957764561786,0.0,0.0,-0.0,0.0,0.0,0.0,0.06905066414393449,0.0,0.0,-0.0
